"Variables ->","newcases_rep","newcases_imp","newcases_imp_fcast","test_eff","H_imp","H_rep","D_imp","D_rep"
"Comments ->","","","","","","","",""
"Class[Size] ->","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]","tseries[145-by-1]"
"2021-Jan-08",2.88161600e+03,4.52733413e+03,NaN,6.06178227e+01,1.44281457e+03,2.94049600e+03,2.75428395e+03,3.59593750e+03
"2021-Jan-09",2.87450400e+03,4.65407494e+03,NaN,5.94753185e+01,1.43583110e+03,2.97156800e+03,2.80507439e+03,3.68295298e+03
"2021-Jan-10",2.82913600e+03,4.74780460e+03,NaN,5.80076178e+01,1.44591414e+03,2.99891200e+03,2.85464982e+03,3.77063571e+03
"2021-Jan-11",2.74344000e+03,4.80192973e+03,NaN,5.62861640e+01,1.46845326e+03,3.02263200e+03,2.90343360e+03,3.85912526e+03
"2021-Jan-12",2.62910400e+03,4.81365383e+03,NaN,5.43897662e+01,1.50042970e+03,3.04314400e+03,2.95181522e+03,3.94843827e+03
"2021-Jan-13",2.49442000e+03,4.78291097e+03,4.78291097e+03,5.24036822e+01,1.53606288e+03,3.05960000e+03,3.00011020e+03,4.03844439e+03
"2021-Jan-14",2.35010267e+03,NaN,4.70421325e+03,5.04010278e+01,1.56967963e+03,3.07337600e+03,3.04841746e+03,4.12873112e+03
"2021-Jan-15",2.20600733e+03,NaN,4.62184697e+03,4.84757687e+01,1.60024724e+03,3.08701600e+03,3.09667591e+03,4.21878512e+03
"2021-Jan-16",2.06464044e+03,NaN,4.54061321e+03,4.66488516e+01,1.62176516e+03,3.09972000e+03,3.14485192e+03,4.30827914e+03
"2021-Jan-17",1.94234011e+03,NaN,4.46268058e+03,4.51061451e+01,1.63213144e+03,3.10812267e+03,3.19185676e+03,4.39557920e+03
"2021-Jan-18",1.82106241e+03,NaN,4.39092607e+03,4.35818389e+01,1.63180510e+03,3.11187333e+03,3.23225024e+03,4.47310047e+03
"2021-Jan-19",1.76823194e+03,NaN,4.33163724e+03,4.29466992e+01,1.61945300e+03,3.10944978e+03,3.27162963e+03,4.54850203e+03
"2021-Jan-20",NaN,NaN,4.27159500e+03,NaN,1.59595652e+03,3.10137444e+03,3.30378155e+03,4.61331410e+03
"2021-Jan-21",NaN,NaN,4.21864262e+03,NaN,1.56419930e+03,3.08928630e+03,3.33195878e+03,4.67198250e+03
"2021-Jan-22",NaN,NaN,4.16463341e+03,NaN,1.53048230e+03,3.08115278e+03,3.34131087e+03,4.70435317e+03
"2021-Jan-23",NaN,NaN,4.14109538e+03,NaN,NaN,NaN,NaN,NaN
