"Variables ->","Q_025","Q_05","Q_10","Q_15","Q_20","Q_25","Q_30","Q_35","Q_40","Q_45","Q_50","Q_55","Q_60","Q_65","Q_70","Q_75","Q_80","Q_85","Q_90","Q_95","Q_975","median","mean","std"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]","tseries[192-by-1]"
"2020-Oct-03",1.19620956e+00,1.21221757e+00,1.23085130e+00,1.24353117e+00,1.25367083e+00,1.26241370e+00,1.27029970e+00,1.27763657e+00,1.28462465e+00,1.29140993e+00,1.29811092e+00,1.30483506e+00,1.31169126e+00,1.31880286e+00,1.32632515e+00,1.33447486e+00,1.34358906e+00,1.35426490e+00,1.36777740e+00,1.38796910e+00,1.40564162e+00,1.29811092e+00,1.29884364e+00,5.34354605e-02
"2020-Oct-04",1.15710884e+00,1.17245327e+00,1.19031302e+00,1.20246528e+00,1.21218250e+00,1.22056074e+00,1.22811756e+00,1.23514791e+00,1.24184382e+00,1.24834521e+00,1.25476565e+00,1.26120806e+00,1.26777680e+00,1.27459002e+00,1.28179647e+00,1.28960373e+00,1.29833463e+00,1.30856105e+00,1.32150406e+00,1.34084342e+00,1.35776862e+00,1.25476565e+00,1.25546151e+00,5.11971266e-02
"2020-Oct-05",1.14005451e+00,1.15495189e+00,1.17228893e+00,1.18408407e+00,1.19351490e+00,1.20164564e+00,1.20897876e+00,1.21580061e+00,1.22229759e+00,1.22860551e+00,1.23483459e+00,1.24108468e+00,1.24745702e+00,1.25406621e+00,1.26105648e+00,1.26862912e+00,1.27709715e+00,1.28701500e+00,1.29956643e+00,1.31831860e+00,1.33472788e+00,1.23483459e+00,1.23550013e+00,4.96695298e-02
"2020-Oct-06",1.15042786e+00,1.16510550e+00,1.18218304e+00,1.19379937e+00,1.20308593e+00,1.21109136e+00,1.21831075e+00,1.22502620e+00,1.23142131e+00,1.23762981e+00,1.24376023e+00,1.24991087e+00,1.25618131e+00,1.26268431e+00,1.26956170e+00,1.27701140e+00,1.28534116e+00,1.29509601e+00,1.30743955e+00,1.32587782e+00,1.34200923e+00,1.24376023e+00,1.24440018e+00,4.88803128e-02
"2020-Oct-07",1.19049771e+00,1.20516344e+00,1.22222178e+00,1.23382182e+00,1.24309351e+00,1.25108482e+00,1.25829045e+00,1.26499223e+00,1.27137356e+00,1.27756797e+00,1.28368380e+00,1.28981912e+00,1.29607326e+00,1.30255861e+00,1.30941653e+00,1.31684423e+00,1.32514825e+00,1.33487145e+00,1.34717266e+00,1.36554299e+00,1.38161043e+00,1.28368380e+00,1.28430083e+00,4.87603043e-02
"2020-Oct-08",1.25956014e+00,1.27437402e+00,1.29159783e+00,1.30330625e+00,1.31266220e+00,1.32072446e+00,1.32799276e+00,1.33475171e+00,1.34118650e+00,1.34743189e+00,1.35359718e+00,1.35978124e+00,1.36608419e+00,1.37261921e+00,1.37952863e+00,1.38701091e+00,1.39537450e+00,1.40516554e+00,1.41754962e+00,1.43603769e+00,1.45220229e+00,1.35359718e+00,1.35419176e+00,4.91499880e-02
"2020-Oct-09",1.34980738e+00,1.36483546e+00,1.38230049e+00,1.39416817e+00,1.40364868e+00,1.41181636e+00,1.41917820e+00,1.42602287e+00,1.43253814e+00,1.43886062e+00,1.44510099e+00,1.45135939e+00,1.45773708e+00,1.46434852e+00,1.47133757e+00,1.47890472e+00,1.48736152e+00,1.49725948e+00,1.50977545e+00,1.52845352e+00,1.54477760e+00,1.44510099e+00,1.44567148e+00,4.97433817e-02
"2020-Oct-10",1.44500618e+00,1.46018480e+00,1.47781685e+00,1.48979324e+00,1.49935785e+00,1.50759606e+00,1.51501994e+00,1.52192103e+00,1.52848885e+00,1.53486127e+00,1.54114993e+00,1.54745575e+00,1.55388074e+00,1.56054013e+00,1.56757866e+00,1.57519803e+00,1.58371150e+00,1.59367356e+00,1.60626718e+00,1.62505416e+00,1.64146670e+00,1.54114993e+00,1.54169309e+00,5.01230475e-02
"2020-Oct-11",1.52931111e+00,1.54447785e+00,1.56208873e+00,1.57404628e+00,1.58359329e+00,1.59181454e+00,1.59922173e+00,1.60610610e+00,1.61265695e+00,1.61901192e+00,1.62528242e+00,1.63156909e+00,1.63797362e+00,1.64461078e+00,1.65162472e+00,1.65921617e+00,1.66769689e+00,1.67761855e+00,1.69015792e+00,1.70885746e+00,1.72518733e+00,1.62528242e+00,1.62579442e+00,4.99734849e-02
"2020-Oct-12",1.59110016e+00,1.60604669e+00,1.62339539e+00,1.63517100e+00,1.64457050e+00,1.65266314e+00,1.65995321e+00,1.66672768e+00,1.67317303e+00,1.67942478e+00,1.68559260e+00,1.69177551e+00,1.69807348e+00,1.70459934e+00,1.71149466e+00,1.71895661e+00,1.72729128e+00,1.73704025e+00,1.74935857e+00,1.76772275e+00,1.78375422e+00,1.68559260e+00,1.68607018e+00,4.91510125e-02
