"Variables ->","Rt","Rt_real"
"Comments ->","",""
"Class[Size] ->","tseries[350-by-1]","tseries[350-by-1]"
"2020-Dec-30",1.09402411e+00,1.22850910e+00
"2020-Dec-31",1.10949702e+00,1.23016530e+00
"2021-Jan-01",1.12405798e+00,1.23310589e+00
"2021-Jan-02",1.13649022e+00,1.23740509e+00
"2021-Jan-03",1.14578460e+00,1.24311681e+00
"2021-Jan-04",1.15119864e+00,1.25027446e+00
"2021-Jan-05",1.15230315e+00,1.25887887e+00
"2021-Jan-06",1.14901104e+00,1.26888177e+00
"2021-Jan-07",1.14156332e+00,1.28015977e+00
"2021-Jan-08",1.13046927e+00,1.29247657e+00
"2021-Jan-09",1.11642976e+00,1.30546236e+00
"2021-Jan-10",1.10028060e+00,1.31863374e+00
"2021-Jan-11",1.08295494e+00,1.33144284e+00
"2021-Jan-12",1.06543727e+00,1.34333318e+00
"2021-Jan-13",1.04870089e+00,1.35379844e+00
"2021-Jan-14",1.03364727e+00,1.36244647e+00
"2021-Jan-15",1.02106733e+00,1.36907906e+00
"2021-Jan-16",1.01161844e+00,1.37374135e+00
"2021-Jan-17",1.00579410e+00,1.37670247e+00
"2021-Jan-18",1.00388212e+00,1.37840664e+00
"2021-Jan-19",1.00593209e+00,1.37942912e+00
"2021-Jan-20",1.01175357e+00,1.38042358e+00
"2021-Jan-21",1.02094507e+00,1.38205691e+00
"2021-Jan-22",1.03293479e+00,1.38493309e+00
"2021-Jan-23",1.04702591e+00,1.38951698e+00
"2021-Jan-24",1.06245761e+00,1.39608793e+00
"2021-Jan-25",1.07848344e+00,1.40471667e+00
"2021-Jan-26",1.09444805e+00,1.41525355e+00
"2021-Jan-27",1.10983914e+00,1.42734971e+00
"2021-Jan-28",1.12430567e+00,1.44050902e+00
"2021-Jan-29",1.13765537e+00,1.45414022e+00
"2021-Jan-30",1.14984311e+00,1.46762928e+00
"2021-Jan-31",1.16094435e+00,1.48042896e+00
"2021-Feb-01",1.17111194e+00,1.49214100e+00
"2021-Feb-02",1.18053233e+00,1.50256790e+00
"2021-Feb-03",1.18939355e+00,1.51170903e+00
"2021-Feb-04",1.19786947e+00,1.51972154e+00
"2021-Feb-05",1.20610864e+00,1.52690325e+00
"2021-Feb-06",1.21422323e+00,1.53364544e+00
"2021-Feb-07",1.22228935e+00,1.54037558e+00
"2021-Feb-08",1.23036224e+00,1.54748291e+00
"2021-Feb-09",1.23844637e+00,1.55526329e+00
"2021-Feb-10",1.24654696e+00,1.56392898e+00
"2021-Feb-11",1.25463545e+00,1.57359143e+00
"2021-Feb-12",1.26246898e+00,1.58424761e+00
"2021-Feb-13",1.27013099e+00,1.59586061e+00
"2021-Feb-14",1.27748074e+00,1.60834345e+00
"2021-Feb-15",1.28321695e+00,1.62143278e+00
"2021-Feb-16",1.28961522e+00,1.63516052e+00
"2021-Feb-17",1.29498806e+00,1.64949519e+00
"2021-Feb-18",1.29215813e+00,1.66362625e+00
